# timestamp;hostname;version;nRanks;rankNo;durationAssembleBoundaryConditions;n;durationComputeMappingBetweenMeshes;n;durationInitCellml;n;durationMap;n;durationMapFinalize;n;durationMapPrepare;n;durationParaview1D;n;durationParaview1DInit;n;durationParaview1DReduction;n;durationParaview1DWrite;n;durationParaview2D;n;durationParaview2D3DInit;n;durationParaview3D;n;durationParaview3DInit;n;durationParaview3DReduction;n;durationParaview3DWrite;n;durationParaviewOutput;n;durationReadGeometry;n;durationSetRightHandSide;n;durationSetStiffnessMatrix;n;durationSolve_activationSolver;n;durationSolve_potentialFlowSolver;n;durationWriteOutput;n;durationWriteOutputParaview;n;duration_0D;n;duration_1D;n;duration_bidomain;n;duration_subdomains_xy_init;n;duration_subdomains_z_init;n;duration_total;n;duration_total_advanceTimeSpan1;n;duration_total_advanceTimeSpan2;n;duration_total_transfer12;n;duration_total_transfer21;n;activationSolver_preconditionerType;activationSolver_solverType;currentSimulationTime;dt_0D;dt_1D;dt_3D;dt_splitting;duration_subdomains_xy_n;duration_subdomains_z_n;endTime;exit;exit_signal;implicitSolver_preconditionerType;implicitSolver_solverType;memoryData;memoryPage;memoryResidentSet;memoryVirtual;meta_partitioning;nInstancesComputedGlobally;nIterations_activationSolver;nIterations_potentialFlowSolver;potentialFlowSolver_preconditionerType;potentialFlowSolver_solverType;residualNorm_activationSolver;residualNorm_potentialFlowSolver;scenarioName;totalUsertime;~nDofs;~nDofs3Dmesh;~nDofsFiber0;~nElements;~nElements3Dmesh;~nElementsFiber0;~nNodes;~nNodes3Dmesh;~nNodesFiber0;nIterationsTotal_activationSolver;nIterationsTotal_potentialFlowSolver;
2021/1/21 22:31:45;pcsgs02;opendihu 1.2, built Jan 21 2021, C++ 201402, GCC 10.2.0;1;0;0.00227787;172;9.83715;169;0.111989;169;1.01789;4225;0.0516238;25;0.00110397;25;4.96878;50;0.00293407;5;4.42402e-06;1;2.84538;25;0.0217949;50;3.45098e-05;4;0.00600552;50;0.00569396;5;3.60503e-06;1;0.00647605;25;5.00128;50;0.0257663;1;1.38283e-05;172;0.329392;172;0.0485577;25;0.00954906;1;5.00215;414;5.00195;75;1343.31;666700;497.234;300015;0.0499199;25;0.509477;1;0.179306;1;1857.53;1;1846.45;25;0.0733706;25;10.9935;25;0.00568107;25;none;cg;10.000000;3e-05;1e-05;0.4;3e-05;1;169;10;normal;;none;cg;461230080;4096;468934656;882913280;[1, 1, 1];169;72;219;none;gmres;0.033541;9.65283e-10;vc-1;1857.68;1481;1519;1481;1480;1080;1480;1481;1519;1481;1722;219;
# timestamp;hostname;version;nRanks;rankNo;durationAssembleBoundaryConditions;n;durationComputeMappingBetweenMeshes;n;durationInitCellml;n;durationMap;n;durationMapFinalize;n;durationMapPrepare;n;durationParaview1D;n;durationParaview1DInit;n;durationParaview1DReduction;n;durationParaview1DWrite;n;durationParaview2D;n;durationParaview2D3DInit;n;durationParaview3D;n;durationParaview3DInit;n;durationParaview3DReduction;n;durationParaview3DWrite;n;durationParaviewOutput;n;durationReadGeometry;n;durationSetRightHandSide;n;durationSetStiffnessMatrix;n;durationSolve_activationSolver;n;durationSolve_potentialFlowSolver;n;durationWriteOutput;n;durationWriteOutputParaview;n;duration_0D;n;duration_1D;n;duration_bidomain;n;duration_subdomains_xy_init;n;duration_subdomains_z_init;n;duration_total;n;duration_total_advanceTimeSpan1;n;duration_total_advanceTimeSpan2;n;duration_total_transfer12;n;duration_total_transfer21;n;activationSolver_preconditionerType;activationSolver_solverType;currentSimulationTime;dt_0D;dt_1D;dt_3D;dt_splitting;duration_subdomains_xy_n;duration_subdomains_z_n;endTime;exit;exit_signal;implicitSolver_preconditionerType;implicitSolver_solverType;memoryData;memoryPage;memoryResidentSet;memoryVirtual;meta_partitioning;nInstancesComputedGlobally;nIterations_activationSolver;nIterations_potentialFlowSolver;potentialFlowSolver_preconditionerType;potentialFlowSolver_solverType;residualNorm_activationSolver;residualNorm_potentialFlowSolver;scenarioName;totalUsertime;~nDofs;~nDofs3Dmesh;~nDofsFiber0;~nElements;~nElements3Dmesh;~nElementsFiber0;~nNodes;~nNodes3Dmesh;~nNodesFiber0;nIterationsTotal_activationSolver;nIterationsTotal_potentialFlowSolver;
2021/1/21 22:47:50;pcsgs02;opendihu 1.2, built Jan 21 2021, C++ 201402, GCC 10.2.0;2;0;0.00194767;172;1.9006;169;0.127032;169;0.523901;4225;0.233912;25;0.00112431;25;2.85702;50;0.00279729;5;1.0394e-05;1;1.51844;25;0.02092;50;3.8647e-05;4;0.00619915;50;0.00570768;5;5.39492e-06;1;0.00483001;25;2.88924;50;0.016431;1;1.37334e-05;172;0.199611;172;0.0305444;25;0.00556708;1;2.89014;414;2.88996;75;685.738;666700;267.924;300015;0.0339072;25;0.502065;1;0.211999;1;959.988;1;957.206;25;0.0571666;25;2.71717;25;0.00569874;25;none;cg;10.000000;3e-05;1e-05;0.4;3e-05;1;169;10;normal;;none;cg;352841728;4096;347459584;785047552;[1, 1, 2];169;73;226;none;gmres;0.0352274;8.08604e-10;vc-2;960.5;1481;1519;1481;1480;1080;1480;1481;1519;1481;1765;226;
2021/1/21 22:47:50;pcsgs02;opendihu 1.2, built Jan 21 2021, C++ 201402, GCC 10.2.0;2;1;0.00193952;172;2.06632;169;0.125712;169;0.516453;4225;0.0419243;25;0.045991;25;2.85129;50;0.00363712;5;0.000843937;1;1.5184;25;0.0196441;50;3.61321e-05;4;0.00615408;50;0.00577851;5;5.7339e-05;1;0.00483557;25;2.88331;50;0.0184569;1;1.51665e-05;172;0.199613;172;0.0305429;25;0.00556641;1;2.88423;414;2.88404;75;677.542;666700;266.142;300015;0.031597;25;0.500204;1;0.210198;1;959.988;1;957.202;25;0.05484;25;2.7254;25;0.00558904;25;none;cg;10.000000;3e-05;1e-05;0.4;3e-05;1;169;10;normal;;none;cg;358699008;4096;352858112;790900736;[1, 1, 2];169;73;226;none;gmres;0.0352274;8.08604e-10;vc-2;963.93;1481;1519;1481;1480;1080;1480;1481;1519;1481;1765;226;
# timestamp;hostname;version;nRanks;rankNo;durationAssembleBoundaryConditions;n;durationComputeMappingBetweenMeshes;n;durationInitCellml;n;durationMap;n;durationMapFinalize;n;durationMapPrepare;n;durationParaview1D;n;durationParaview1DInit;n;durationParaview1DReduction;n;durationParaview1DWrite;n;durationParaview2D;n;durationParaview2D3DInit;n;durationParaview3D;n;durationParaview3DInit;n;durationParaview3DReduction;n;durationParaview3DWrite;n;durationParaviewOutput;n;durationReadGeometry;n;durationSetRightHandSide;n;durationSetStiffnessMatrix;n;durationSolve_activationSolver;n;durationSolve_potentialFlowSolver;n;durationWriteOutput;n;durationWriteOutputParaview;n;duration_0D;n;duration_1D;n;duration_bidomain;n;duration_subdomains_xy_init;n;duration_subdomains_z_init;n;duration_total;n;duration_total_advanceTimeSpan1;n;duration_total_advanceTimeSpan2;n;duration_total_transfer12;n;duration_total_transfer21;n;activationSolver_preconditionerType;activationSolver_solverType;currentSimulationTime;dt_0D;dt_1D;dt_3D;dt_splitting;duration_subdomains_xy_n;duration_subdomains_z_n;endTime;exit;exit_signal;implicitSolver_preconditionerType;implicitSolver_solverType;memoryData;memoryPage;memoryResidentSet;memoryVirtual;meta_partitioning;nInstancesComputedGlobally;nIterations_activationSolver;nIterations_potentialFlowSolver;potentialFlowSolver_preconditionerType;potentialFlowSolver_solverType;residualNorm_activationSolver;residualNorm_potentialFlowSolver;scenarioName;totalUsertime;~nDofs;~nDofs3Dmesh;~nDofsFiber0;~nElements;~nElements3Dmesh;~nElementsFiber0;~nNodes;~nNodes3Dmesh;~nNodesFiber0;nIterationsTotal_activationSolver;nIterationsTotal_potentialFlowSolver;
2021/1/21 22:56:55;pcsgs02;opendihu 1.2, built Jan 21 2021, C++ 201402, GCC 10.2.0;4;0;0.0022103;94;0.522864;91;0.0690649;91;0.284881;2275;0.665359;25;0.000605469;25;1.3102;50;0.00077629;5;3.0374e-05;1;0.911124;25;0.0282409;50;1.82501e-05;4;0.00332825;50;0.00140046;5;5.36896e-06;1;0.0135591;25;1.34601;50;0.0554973;1;8.44186e-06;94;0.138223;94;0.0256041;25;0.00678653;1;1.34677;258;1.34661;75;382.183;666700;155.06;300015;0.0277384;25;0.272757;1;0.114939;1;540.597;1;539.023;25;0.0614651;25;1.50807;25;0.00318;25;none;cg;10.000000;3e-05;1e-05;0.4;3e-05;1;91;10;normal;;none;cg;218599424;4096;222728192;659202048;[2, 1, 2];91;75;280;none;gmres;0.0329154;8.9433e-10;vc-4;541.09;1481;1736;1481;1480;1260;1480;1481;1736;1481;1797;280;
2021/1/21 22:56:55;pcsgs02;opendihu 1.2, built Jan 21 2021, C++ 201402, GCC 10.2.0;4;1;0.00219545;81;0.587993;78;0.0597516;78;0.239751;1950;0.614257;25;0.0415489;25;95.2639;50;0.00156426;5;0.000949263;1;0.911127;25;0.0267407;50;1.8387e-05;4;0.00297785;50;0.00126087;5;5.9189e-05;1;0.0135609;25;95.2988;50;0.0603264;1;6.93731e-06;81;0.132141;81;0.025601;25;0.00679842;1;95.2996;232;95.2994;75;312.108;666700;131.223;300015;0.0277936;25;0.234241;1;0.0990497;1;540.598;1;539.021;25;0.0615;25;1.51236;25;0.00269096;25;none;cg;10.000000;3e-05;1e-05;0.4;3e-05;1;78;10;normal;;none;cg;197160960;4096;203137024;637763584;[2, 1, 2];78;75;280;none;gmres;0.0329154;8.9433e-10;vc-4;544.07;1481;1736;1480;1260;1481;1736;1797;280;
2021/1/21 22:56:55;pcsgs02;opendihu 1.2, built Jan 21 2021, C++ 201402, GCC 10.2.0;4;2;0.00220749;94;1.13664;91;0.0676847;91;0.275876;2275;0.0283039;25;0.0390864;25;1.30662;50;0.00165844;5;0.000951579;1;0.911132;25;0.026922;50;1.94898e-05;4;0.00326882;50;0.00146229;5;6.0422e-05;1;0.0135684;25;1.34228;50;0.054116;1;7.80623e-06;94;0.138235;94;0.0255972;25;0.00679852;1;1.34302;258;1.34285;75;373.449;666700;151.53;300015;0.0264586;25;0.271601;1;0.113834;1;540.597;1;539.021;25;0.0601788;25;1.51312;25;0.00311355;25;none;cg;10.000000;3e-05;1e-05;0.4;3e-05;1;91;10;normal;;none;cg;218021888;4096;222281728;658620416;[2, 1, 2];91;75;280;none;gmres;0.0329154;8.9433e-10;vc-4;544.13;1481;1736;1481;1480;1260;1480;1481;1736;1481;1797;280;
2021/1/21 22:56:55;pcsgs02;opendihu 1.2, built Jan 21 2021, C++ 201402, GCC 10.2.0;4;3;0.00219827;81;0.656095;78;0.0584195;78;0.237827;1950;0.549843;25;0.0398001;25;95.2648;50;0.00156973;5;0.000951673;1;0.911291;25;0.0267701;50;1.6692e-05;4;0.00298494;50;0.00126821;5;5.8816e-05;1;0.0137191;25;95.2998;50;0.0599627;1;6.92694e-06;81;0.132142;81;0.0256035;25;0.00679783;1;95.3006;232;95.3004;75;307.069;666700;131.014;300015;0.0268449;25;0.233042;1;0.0978567;1;540.598;1;539.022;25;0.0605833;25;1.51231;25;0.00268265;25;none;cg;10.000000;3e-05;1e-05;0.4;3e-05;1;78;10;normal;;none;cg;194363392;4096;199749632;634961920;[2, 1, 2];78;75;280;none;gmres;0.0329154;8.9433e-10;vc-4;544.13;1481;1736;1480;1260;1481;1736;1797;280;
# timestamp;hostname;version;nRanks;rankNo;durationAssembleBoundaryConditions;n;durationComputeMappingBetweenMeshes;n;durationInitCellml;n;durationMap;n;durationMapFinalize;n;durationMapPrepare;n;durationParaview1D;n;durationParaview1DInit;n;durationParaview1DReduction;n;durationParaview1DWrite;n;durationParaview2D;n;durationParaview2D3DInit;n;durationParaview3D;n;durationParaview3DInit;n;durationParaview3DReduction;n;durationParaview3DWrite;n;durationParaviewOutput;n;durationReadGeometry;n;durationSetRightHandSide;n;durationSetStiffnessMatrix;n;durationSolve_activationSolver;n;durationSolve_potentialFlowSolver;n;durationWriteOutput;n;durationWriteOutputParaview;n;duration_0D;n;duration_1D;n;duration_bidomain;n;duration_subdomains_xy_init;n;duration_subdomains_z_init;n;duration_total;n;duration_total_advanceTimeSpan1;n;duration_total_advanceTimeSpan2;n;duration_total_transfer12;n;duration_total_transfer21;n;activationSolver_preconditionerType;activationSolver_solverType;currentSimulationTime;dt_0D;dt_1D;dt_3D;dt_splitting;duration_subdomains_xy_n;duration_subdomains_z_n;endTime;exit;exit_signal;implicitSolver_preconditionerType;implicitSolver_solverType;memoryData;memoryPage;memoryResidentSet;memoryVirtual;meta_partitioning;nInstancesComputedGlobally;nIterations_activationSolver;nIterations_potentialFlowSolver;potentialFlowSolver_preconditionerType;potentialFlowSolver_solverType;residualNorm_activationSolver;residualNorm_potentialFlowSolver;scenarioName;totalUsertime;~nDofs;~nDofs3Dmesh;~nDofsFiber0;~nElements;~nElements3Dmesh;~nElementsFiber0;~nNodes;~nNodes3Dmesh;~nNodesFiber0;nIterationsTotal_activationSolver;nIterationsTotal_potentialFlowSolver;
2021/1/21 23:02:11;pcsgs02;opendihu 1.2, built Jan 21 2021, C++ 201402, GCC 10.2.0;8;0;0.00253375;52;0.199262;49;0.039602;49;0.161971;1225;0.34598;25;0.000588423;25;0.708287;25;0.000271987;3;2.2525e-05;1;0.531362;25;0.000590986;25;1.1347e-05;2;0.00140233;25;0.000477824;2;0.0;0;0.0;0;0.711446;25;0.168747;1;6.35989e-06;52;0.0971193;52;0.0325517;25;0.00873031;1;0.711969;149;0.711838;50;209.147;666700;84.9687;300015;0.0341391;25;0.156391;1;0.0664705;1;295.99;1;295.221;25;0.0342128;25;0.730926;25;0.00173619;25;none;cg;10.000000;3e-05;1e-05;0.4;3e-05;1;49;10;normal;;none;cg;141426688;4096;150499328;598798336;[2, 2, 2];49;79;343;none;gmres;0.034549;9.43542e-10;vc-8;296.34;1481;1984;1481;1480;1470;1480;1481;1984;1481;1913;343;
2021/1/21 23:02:11;pcsgs02;opendihu 1.2, built Jan 21 2021, C++ 201402, GCC 10.2.0;8;1;0.00252485;45;0.232084;42;0.0343282;42;0.135406;1050;0.309985;25;0.036445;25;51.7816;25;0.00111371;3;0.000902589;1;0.531361;25;0.000417092;25;7.88504e-06;2;0.000846178;25;0.000393504;2;0.0;0;0.0;0;51.7836;25;0.169236;1;5.29306e-06;45;0.0937815;45;0.0325991;25;0.00876639;1;51.7841;135;51.784;50;166.54;666700;71.1071;300015;0.0342173;25;0.134864;1;0.0573881;1;295.99;1;295.218;25;0.0342987;25;0.735823;25;0.00147924;25;none;cg;10.000000;3e-05;1e-05;0.4;3e-05;1;42;10;normal;;none;cg;128741376;4096;138317824;586108928;[2, 2, 2];42;79;343;none;gmres;0.034549;9.43542e-10;vc-8;312.08;1481;1984;1480;1470;1481;1984;1913;343;
2021/1/21 23:02:11;pcsgs02;opendihu 1.2, built Jan 21 2021, C++ 201402, GCC 10.2.0;8;2;0.00252344;45;0.381362;42;0.0336041;42;0.132602;1050;0.165306;25;0.0342501;25;32.7961;50;0.00112183;5;0.000906256;1;0.531337;25;0.0303604;50;1.04009e-05;4;0.00223144;50;0.000392523;5;6.09108e-06;1;0.0151722;25;32.8319;50;0.169844;1;4.09293e-06;45;0.0937704;45;0.0326;25;0.00876518;1;32.8326;160;32.8324;75;190.843;666700;71.192;300015;0.0341845;25;0.133113;1;0.056194;1;295.991;1;295.183;25;0.0707334;25;0.735399;25;0.00166557;25;none;cg;10.000000;3e-05;1e-05;0.4;3e-05;1;42;10;normal;;none;cg;130662400;4096;140881920;588029952;[2, 2, 2];42;79;343;none;gmres;0.034549;9.43542e-10;vc-8;312.13;1481;1984;1480;1470;1481;1984;1913;343;
2021/1/21 23:02:11;pcsgs02;opendihu 1.2, built Jan 21 2021, C++ 201402, GCC 10.2.0;8;3;0.00251782;39;0.324247;36;0.02953;36;0.116803;900;0.234669;25;0.0392938;25;96.749;50;0.00106917;5;0.000902634;1;0.531322;25;0.0288625;50;8.48901e-06;4;0.00217152;50;0.000377763;5;7.4052e-05;1;0.0151691;25;96.7846;50;0.168987;1;3.91225e-06;39;0.0909674;39;0.0325607;25;0.00876712;1;96.7853;148;96.7851;75;136.996;666700;60.843;300015;0.0341999;25;0.116546;1;0.0494858;1;295.992;1;295.185;25;0.0707397;25;0.734469;25;0.00138877;25;none;cg;10.000000;3e-05;1e-05;0.4;3e-05;1;36;10;normal;;none;cg;119369728;4096;129683456;576737280;[2, 2, 2];36;79;343;none;gmres;0.034549;9.43542e-10;vc-8;312.13;1481;1984;1480;1470;1481;1984;1913;343;
2021/1/21 23:02:11;pcsgs02;opendihu 1.2, built Jan 21 2021, C++ 201402, GCC 10.2.0;8;4;0.00253047;52;0.183009;49;0.0391562;49;0.159033;1225;0.335304;25;0.0339173;25;0.705443;25;0.00116657;3;0.000916194;1;0.531364;25;0.000509778;25;9.45095e-06;2;0.00101992;25;0.000473098;2;0.0;0;0.0;0;0.707861;25;0.169074;1;4.75801e-06;52;0.0971154;52;0.0325739;25;0.00876713;1;0.708334;149;0.708219;50;200.653;666700;81.5263;300015;0.0335201;25;0.156063;1;0.0661806;1;295.99;1;295.219;25;0.0335968;25;0.735196;25;0.00154412;25;none;cg;10.000000;3e-05;1e-05;0.4;3e-05;1;49;10;normal;;none;cg;141082624;4096;150269952;598446080;[2, 2, 2];49;79;343;none;gmres;0.034549;9.43542e-10;vc-8;312.08;1481;1984;1481;1480;1470;1480;1481;1984;1481;1913;343;
2021/1/21 23:02:11;pcsgs02;opendihu 1.2, built Jan 21 2021, C++ 201402, GCC 10.2.0;8;5;0.0025213;45;0.282668;42;0.0338866;42;0.134179;1050;0.262638;25;0.0345865;25;51.7818;25;0.00112302;3;0.000910054;1;0.531343;25;0.000418198;25;8.51904e-06;2;0.000852782;25;0.000398792;2;0.0;0;0.0;0;51.7838;25;0.16835;1;4.29363e-06;45;0.093789;45;0.0325843;25;0.00876588;1;51.7843;135;51.7842;50;171.756;666700;71.3182;300015;0.0336852;25;0.134488;1;0.0570036;1;295.99;1;295.218;25;0.0337713;25;0.736182;25;0.00142167;25;none;cg;10.000000;3e-05;1e-05;0.4;3e-05;1;42;10;normal;;none;cg;128163840;4096;137564160;585527296;[2, 2, 2];42;79;343;none;gmres;0.034549;9.43542e-10;vc-8;312.08;1481;1984;1480;1470;1481;1984;1913;343;
2021/1/21 23:02:11;pcsgs02;opendihu 1.2, built Jan 21 2021, C++ 201402, GCC 10.2.0;8;6;0.00252581;45;0.502665;42;0.0339597;42;0.13067;1050;0.0459056;25;0.0359709;25;32.7956;50;0.00112753;5;0.000913597;1;0.531325;25;0.0289081;50;1.00909e-05;4;0.0021763;50;0.000460262;5;7.56199e-05;1;0.0151829;25;32.8313;50;0.170886;1;4.29782e-06;45;0.0937857;45;0.0325451;25;0.00876691;1;32.8319;160;32.8318;75;191.065;666700;70.3847;300015;0.0334409;25;0.133552;1;0.0566424;1;295.991;1;295.183;25;0.0699723;25;0.736769;25;0.00163525;25;none;cg;10.000000;3e-05;1e-05;0.4;3e-05;1;42;10;normal;;none;cg;131117056;4096;141692928;588480512;[2, 2, 2];42;79;343;none;gmres;0.034549;9.43542e-10;vc-8;312.12;1481;1984;1480;1470;1481;1984;1913;343;
2021/1/21 23:02:11;pcsgs02;opendihu 1.2, built Jan 21 2021, C++ 201402, GCC 10.2.0;8;7;0.00251822;39;0.451078;36;0.0291952;36;0.116043;900;0.113087;25;0.0359358;25;96.7486;50;0.00108589;5;0.000910085;1;0.531522;25;0.0288315;50;9.16608e-06;4;0.00213993;50;0.000374674;5;7.4723e-05;1;0.0153423;25;96.7842;50;0.169533;1;3.68082e-06;39;0.0909621;39;0.0325798;25;0.00876738;1;96.7849;148;96.7847;75;137.053;666700;60.9291;300015;0.0335229;25;0.116267;1;0.0491913;1;295.992;1;295.184;25;0.0700703;25;0.735585;25;0.00145187;25;none;cg;10.000000;3e-05;1e-05;0.4;3e-05;1;36;10;normal;;none;cg;119447552;4096;130232320;576811008;[2, 2, 2];36;79;343;none;gmres;0.034549;9.43542e-10;vc-8;312.07;1481;1984;1480;1470;1481;1984;1913;343;
# timestamp;hostname;version;nRanks;rankNo;durationAssembleBoundaryConditions;n;durationComputeMappingBetweenMeshes;n;durationInitCellml;n;durationMap;n;durationMapFinalize;n;durationMapPrepare;n;durationParaview1D;n;durationParaview1DInit;n;durationParaview1DReduction;n;durationParaview1DWrite;n;durationParaview2D;n;durationParaview2D3DInit;n;durationParaview3D;n;durationParaview3DInit;n;durationParaview3DReduction;n;durationParaview3DWrite;n;durationParaviewOutput;n;durationReadGeometry;n;durationSetRightHandSide;n;durationSetStiffnessMatrix;n;durationSolve_activationSolver;n;durationSolve_potentialFlowSolver;n;durationWriteOutput;n;durationWriteOutputParaview;n;duration_0D;n;duration_1D;n;duration_bidomain;n;duration_subdomains_xy_init;n;duration_subdomains_z_init;n;duration_total;n;duration_total_advanceTimeSpan1;n;duration_total_advanceTimeSpan2;n;duration_total_transfer12;n;duration_total_transfer21;n;activationSolver_preconditionerType;activationSolver_solverType;currentSimulationTime;dt_0D;dt_1D;dt_3D;dt_splitting;duration_subdomains_xy_n;duration_subdomains_z_n;endTime;exit;exit_signal;implicitSolver_preconditionerType;implicitSolver_solverType;memoryData;memoryPage;memoryResidentSet;memoryVirtual;meta_partitioning;nInstancesComputedGlobally;nIterations_activationSolver;nIterations_potentialFlowSolver;potentialFlowSolver_preconditionerType;potentialFlowSolver_solverType;residualNorm_activationSolver;residualNorm_potentialFlowSolver;scenarioName;totalUsertime;~nDofs;~nDofs3Dmesh;~nDofsFiber0;~nElements;~nElements3Dmesh;~nElementsFiber0;~nNodes;~nNodes3Dmesh;~nNodesFiber0;nIterationsTotal_activationSolver;nIterationsTotal_potentialFlowSolver;
2021/1/21 23:05:47;pcsgs02;opendihu 1.2, built Jan 21 2021, C++ 201402, GCC 10.2.0;12;0;0.00343351;52;0.124776;49;0.046821;49;0.113849;1225;0.143036;25;0.000647653;25;0.556888;25;0.000283223;3;2.9003e-05;1;0.415139;25;0.000714293;25;1.14001e-05;2;0.00180146;25;0.000524475;2;0.0;0;0.0;0;0.560785;25;0.709991;1;5.83869e-06;52;0.0720682;52;0.0423199;25;0.00835322;1;0.561318;149;0.561175;50;146.703;666700;59.3919;300015;0.0523807;25;0.165031;1;0.0792933;1;207.425;1;206.959;25;0.0524619;25;0.411022;25;0.00160027;25;none;cg;10.000000;3e-05;1e-05;0.4;3e-05;1;49;10;normal;;none;cg;121692160;4096;134029312;595816448;[2, 2, 3];49;79;320;none;gmres;0.0302084;9.36212e-10;vc-12;207.94;1481;1984;1481;1480;1470;1480;1481;1984;1481;1891;320;
2021/1/21 23:05:47;pcsgs02;opendihu 1.2, built Jan 21 2021, C++ 201402, GCC 10.2.0;12;1;0.00342443;45;0.130042;42;0.0400214;42;0.0960662;1050;0.141783;25;0.0189816;25;41.5548;25;0.00110665;3;0.000895049;1;0.415153;25;0.000482901;25;9.21299e-06;2;0.00116461;25;0.000448971;2;0.0;0;0.0;0;41.5574;25;0.710985;1;4.39887e-06;45;0.0691544;45;0.0422832;25;0.00838845;1;41.5579;135;41.5578;50;110.287;666700;46.8745;300015;0.0523172;25;0.140923;1;0.0675533;1;207.425;1;206.957;25;0.0523995;25;0.414329;25;0.00136552;25;none;cg;10.000000;3e-05;1e-05;0.4;3e-05;1;42;10;normal;;none;cg;111730688;4096;123973632;585854976;[2, 2, 3];42;79;320;none;gmres;0.0302084;9.36212e-10;vc-12;211.81;1481;1984;1480;1470;1481;1984;1891;320;
